early_short_stories_0001.wav|За столицей мудрого царя Соломона шелестел по склонам холмов густой лес. С его опушки запутанные тропинки вели на поляну,|За столицей мудрого царя Соломона шелестел по склонам холмов густой лес. С его опушки запутанные тропинки вели на поляну,
early_short_stories_0002.wav|где происходили свидания Ариэля и Тамары. Ему было около четырнадцати лет, и ей тоже.|где происходили свидания Ариэля и Тамары. Ему было около четырнадцати лет, и ей тоже.
early_short_stories_0003.wav|Но Ариэль был сыном знатного иерусалимца, одного из любимейших советников премудрого царя,|Но Ариэль был сыном знатного иерусалимца, одного из любимейших советников премудрого царя,
early_short_stories_0004.wav|и его волосы были черны, как ночь, а глаза — как уголь. А Тамара жила за городом, потому что ее отцу, иноплеменнику,|и его волосы были черны, как ночь, а глаза — как уголь. А Тамара жила за городом, потому что ее отцу, иноплеменнику,
early_short_stories_0005.wav|не дозволялось обитать среди иудеев, и ее мягкие, длинные локоны были нежного темно-каштанового цвета,|не дозволялось обитать среди иудеев, и ее мягкие, длинные локоны были нежного темно-каштанового цвета,
early_short_stories_0006.wav|а синие глаза глубоко поразили Ариэля, когда он в первый раз встретил ее, бродя по лесу.|а синие глаза глубоко поразили Ариэля, когда он в первый раз встретил ее, бродя по лесу.
early_short_stories_0007.wav|С этих пор они много раз сходились по ночам на поляне среди леса, нежно целовали друг другу глаза и волосы,|С этих пор они много раз сходились по ночам на поляне среди леса, нежно целовали друг другу глаза и волосы,
early_short_stories_0008.wav|перекидывались робкими полусловами и потом со вздохом расставались, убегая, чтобы незаметно проскользнуть к себе.|перекидывались робкими полусловами и потом со вздохом расставались, убегая, чтобы незаметно проскользнуть к себе.
early_short_stories_0009.wav|Впрочем, Ариэль принимал больше предосторожностей, чем Тамара:|Впрочем, Ариэль принимал больше предосторожностей, чем Тамара:
early_short_stories_0010.wav|его суровый отец ни за что не должен был узнать, где проходили ночи сына. И в эту ночь,|его суровый отец ни за что не должен был узнать, где проходили ночи сына. И в эту ночь,
early_short_stories_0011.wav|стоя у дерева среди светлой поляны, Тамара снова ждет. С темного неба ярко светит белый месяц:|стоя у дерева среди светлой поляны, Тамара снова ждет. С темного неба ярко светит белый месяц:
early_short_stories_0012.wav|как серебро на черном фоне бархата, резко выделяется осыпанная лунным блеском стройная фигурка Тамары|как серебро на черном фоне бархата, резко выделяется осыпанная лунным блеском стройная фигурка Тамары
early_short_stories_0013.wav|в легкой длинной одежде. Минуты убегают, и чудится, что ветер шелестит: не жди его, Тамара,|в легкой длинной одежде. Минуты убегают, и чудится, что ветер шелестит: не жди его, Тамара,
early_short_stories_0014.wav|он не придет!|он не придет!
early_short_stories_0015.wav|В этот вечер Эгуд, отец Ариэля, долго расспрашивал одного из рабов. — Откуда ты знаешь,|В этот вечер Эгуд, отец Ариэля, долго расспрашивал одного из рабов. — Откуда ты знаешь,
early_short_stories_0016.wav|что это было не в первый раз? — говорил Эгуд. — Это было ясно из их речей, господин. Тогда старый Эгуд|что это было не в первый раз? — говорил Эгуд. — Это было ясно из их речей, господин. Тогда старый Эгуд
early_short_stories_0017.wav|угрюмо велел рабу уйти, а сам отправился в комнату своей прекрасной жены.|угрюмо велел рабу уйти, а сам отправился в комнату своей прекрасной жены.
early_short_stories_0018.wav|— Я давно предупреждал тебя, Ноэми, что мы много горя испытаем из-за Ариэля. Ноэми стояла перед ним,|— Я давно предупреждал тебя, Ноэми, что мы много горя испытаем из-за Ариэля. Ноэми стояла перед ним,
early_short_stories_0019.wav|испуганная и встревоженная. — Тысячекратно прав наш мудрый царь,|испуганная и встревоженная. — Тысячекратно прав наш мудрый царь,
early_short_stories_0020.wav|сказавший, что не следует обращать внимание на слова жены! Из-за тебя, Ноэми,|сказавший, что не следует обращать внимание на слова жены! Из-за тебя, Ноэми,
early_short_stories_0021.wav|я так мало наказывал Ариэля. Не было примера, чтобы израильское дитя пользовалось такой свободой, как он.|я так мало наказывал Ариэля. Не было примера, чтобы израильское дитя пользовалось такой свободой, как он.
early_short_stories_0022.wav|И давно я говорил тебе, что мне не нравятся его мысли и слова. Но теперь он превысил меру моего терпения,|И давно я говорил тебе, что мне не нравятся его мысли и слова. Но теперь он превысил меру моего терпения,
early_short_stories_0023.wav|и я покараю его со всей строгостью, заповеданной нам отцовскими обычаями.|и я покараю его со всей строгостью, заповеданной нам отцовскими обычаями.
early_short_stories_0024.wav|Не возражай мне! И, покидая плакавшую Ноэми, он приказал:|Не возражай мне! И, покидая плакавшую Ноэми, он приказал:
early_short_stories_0025.wav|— Пусть пошлют Ариэля в мои комнаты. Через минуту Ариэль вошел к нему с опущенной головой.|— Пусть пошлют Ариэля в мои комнаты. Через минуту Ариэль вошел к нему с опущенной головой.
early_short_stories_0026.wav|Он догадывался, что отец хочет за что-то наказать его побоями. Прежде это часто случалось,|Он догадывался, что отец хочет за что-то наказать его побоями. Прежде это часто случалось,
early_short_stories_0027.wav|но с тех пор как в богатый дом Эгуда вступила вторая жена старика, молодая и добрая красавица Ноэми,|но с тех пор как в богатый дом Эгуда вступила вторая жена старика, молодая и добрая красавица Ноэми,
early_short_stories_0028.wav|Эгуд стал мягче обращаться с Ариэлем.|Эгуд стал мягче обращаться с Ариэлем.
early_short_stories_0029.wav|Эгуд сидел на эластичной подушке у стола и холодно, сурово смотрел на сына.|Эгуд сидел на эластичной подушке у стола и холодно, сурово смотрел на сына.
early_short_stories_0030.wav|Ариэль не догадывался, о каком проступке его будет речь. — Авиноам сказал мне, — начал Эгуд,|Ариэль не догадывался, о каком проступке его будет речь. — Авиноам сказал мне, — начал Эгуд,
early_short_stories_0031.wav|— что вчера ночью ты был там, в лесу. При этих словах Ариэль сразу побледнел. — Ты был в лесу,|— что вчера ночью ты был там, в лесу. При этих словах Ариэль сразу побледнел. — Ты был в лесу,
early_short_stories_0032.wav|и с тобой была женщина. Авиноам узнал в ней дочь купца из Идумеи,|и с тобой была женщина. Авиноам узнал в ней дочь купца из Идумеи,
early_short_stories_0033.wav|девицу Тамару, жилище которой лежит за пределами Иерусалима. И я хочу знать, правду ли говорит Авиноам?|девицу Тамару, жилище которой лежит за пределами Иерусалима. И я хочу знать, правду ли говорит Авиноам?
early_short_stories_0034.wav|Ариэль тихо прошептал: — Правду. — Отступник!|Ариэль тихо прошептал: — Правду. — Отступник!
early_short_stories_0035.wav|— закричал громовым голосом Эгуд, поднимаясь и занося руку, — позор моему имени! Проклятие моей старости!|— закричал громовым голосом Эгуд, поднимаясь и занося руку, — позор моему имени! Проклятие моей старости!
early_short_stories_0036.wav|Сын царедворца Эгуда ходит на свидания с язычницей, с малолетней блудницей из идумейской земли!|Сын царедворца Эгуда ходит на свидания с язычницей, с малолетней блудницей из идумейской земли!
early_short_stories_0037.wav|Погоди же! Ты искупишь эти свидания неслыханной болью|Погоди же! Ты искупишь эти свидания неслыханной болью
early_short_stories_0038.wav|— я накажу тебя строже, чем когда либо наказывал отец свое дитя! Эгуд кинулся на сына; Ариэль закрыл глаза.|— я накажу тебя строже, чем когда либо наказывал отец свое дитя! Эгуд кинулся на сына; Ариэль закрыл глаза.
early_short_stories_0039.wav|Отец швырнул его на пол и позвал раба. Авиноам принес тяжелую плеть,|Отец швырнул его на пол и позвал раба. Авиноам принес тяжелую плеть,
early_short_stories_0040.wav|и на неподвижного Ариэля посыпались свистящие, резкие удары.|и на неподвижного Ариэля посыпались свистящие, резкие удары.
early_short_stories_0041.wav|Ариэль зарыдал от невыносимой, жгучей боли, но не смел даже заслонить себя рукой.|Ариэль зарыдал от невыносимой, жгучей боли, но не смел даже заслонить себя рукой.
early_short_stories_0042.wav|Его крики доносились до комнат госпожи Ноэми, которая в отчаянии бросилась на кровать, напрасно закрывая себе уши.|Его крики доносились до комнат госпожи Ноэми, которая в отчаянии бросилась на кровать, напрасно закрывая себе уши.
early_short_stories_0043.wav|Крики Ариэля звучали все громче, пронзительнее, хриплее;|Крики Ариэля звучали все громче, пронзительнее, хриплее;
early_short_stories_0044.wav|в них уже трудно было различить что-нибудь человеческое — это зверь безумно визжал от смертельной, жестокой, беспощадной боли.|в них уже трудно было различить что-нибудь человеческое — это зверь безумно визжал от смертельной, жестокой, беспощадной боли.
early_short_stories_0045.wav|Потом Авиноам унес бесчувственное тело Ариэля в отдаленную комнату.|Потом Авиноам унес бесчувственное тело Ариэля в отдаленную комнату.
early_short_stories_0046.wav|Туда же проскользнула Ноэми со своей любимой служанкой. Эгуд сидел над окровавленным местом расправы.|Туда же проскользнула Ноэми со своей любимой служанкой. Эгуд сидел над окровавленным местом расправы.
early_short_stories_0047.wav|Он так тяжело дышал и его глаза так угрюмо чернели под седыми бровями,|Он так тяжело дышал и его глаза так угрюмо чернели под седыми бровями,
early_short_stories_0048.wav|что рабы не решались войти и смыть эту кровь с каменного пола.|что рабы не решались войти и смыть эту кровь с каменного пола.
early_short_stories_0049.wav|Эгуд развернул государственные бумаги, над которыми он работал.|Эгуд развернул государственные бумаги, над которыми он работал.
early_short_stories_0050.wav|Но трудно было ему сосредоточиться на них, потому что в его душе с сознанием исполненного долга соединялись непонятные укоры совести.|Но трудно было ему сосредоточиться на них, потому что в его душе с сознанием исполненного долга соединялись непонятные укоры совести.
early_short_stories_0051.wav|И вот он долго сидел, глубоко задумавшись, пока заря не окрасила розовым налетом окон его комнаты.|И вот он долго сидел, глубоко задумавшись, пока заря не окрасила розовым налетом окон его комнаты.
early_short_stories_0052.wav|Тогда Эгуд прошептал: — Нет, не это называется жестокостью!|Тогда Эгуд прошептал: — Нет, не это называется жестокостью!
early_short_stories_0053.wav|В дверях показался Авиноам. — Господин, твой сын только что очнулся. Ноэми велела доложить тебе об этом.|В дверях показался Авиноам. — Господин, твой сын только что очнулся. Ноэми велела доложить тебе об этом.
early_short_stories_0054.wav|Авиноам робко произнес эти слова и скрылся. Эгуд побледнел и поднялся, вскрикнув:|Авиноам робко произнес эти слова и скрылся. Эгуд побледнел и поднялся, вскрикнув:
early_short_stories_0055.wav|«Только теперь!» Заря игриво засверкала на влажном, еще кровавом пятне посреди пола.|Только теперь! Заря игриво засверкала на влажном, еще кровавом пятне посреди пола.
early_short_stories_0056.wav|Мучения Эгуда стали невыносимы. Он бросился во дворец мудрого Соломона.|Мучения Эгуда стали невыносимы. Он бросился во дворец мудрого Соломона.
early_short_stories_0057.wav|Эгуд знал, что в это время царь уже выходил из роскошных женских покоев своего дворца.|Эгуд знал, что в это время царь уже выходил из роскошных женских покоев своего дворца.
early_short_stories_0058.wav|Подходя к утренним комнатам Соломона, Эгуд услышал тихий и звучный голос царя,|Подходя к утренним комнатам Соломона, Эгуд услышал тихий и звучный голос царя,
early_short_stories_0059.wav|напевавшего под перезвон могучих струн арфы покойного Псалмопевца стихи из «Песни Песней».|напевавшего под перезвон могучих струн арфы покойного Псалмопевца стихи из Песни Песней .
early_short_stories_0060.wav|Когда мудрый царь умолк, Эгуд приблизился и поверил ему свои сомнения. И царь Соломон сказал ему:|Когда мудрый царь умолк, Эгуд приблизился и поверил ему свои сомнения. И царь Соломон сказал ему:
